Date,Price,Open,High,Low,Vol.,Change %
8/1/2010,0.10,0.1,0.1,0,221.74K,0.00%
9/1/2010,0.10,0.1,0.2,0.1,216.81K,0.00%
10/1/2010,0.20,0.1,0.2,0,1.11M,210.99%
11/1/2010,0.20,0.2,0.5,0.1,826.25K,0.00%
12/1/2010,0.30,0.2,0.3,0.2,263.65K,44.09%
1/1/2011,0.50,0.3,0.9,0.3,377.75K,73.33%
2/1/2011,0.90,0.5,1.1,0.5,367.30K,65.38%
3/1/2011,0.80,0.9,1,0.7,243.30K,-8.77%
4/1/2011,3.50,0.8,4.2,0.6,868.76K,346.09%
5/1/2011,8.70,3.5,9.5,2.5,949.02K,149.71%
6/1/2011,16.10,8.7,31.9,8.3,1.36M,84.21%
7/1/2011,13.40,16.1,16.7,11,1.05M,-17.08%
8/1/2011,8.20,13.4,13.6,5.7,1.22M,-38.58%
9/1/2011,5.10,8.2,8.7,4.2,1.49M,-37.32%
10/1/2011,3.30,5.1,5.3,2,1.73M,-36.77%
11/1/2011,3.00,3.3,3.4,2,1.97M,-8.62%
12/1/2011,4.70,3,5,2.6,1.90M,58.92%
1/1/2012,5.50,4.7,7.2,4.6,3.21M,16.10%
2/1/2012,4.90,5.5,6.2,3.9,2.84M,-11.31%
3/1/2012,4.90,4.9,5.4,4.3,1.76M,0.00%
4/1/2012,4.90,4.9,5.5,4.6,1.66M,0.00%
5/1/2012,5.20,4.9,5.2,4.8,1.24M,4.65%
6/1/2012,6.70,5.2,6.8,5.2,1.38M,29.15%
7/1/2012,9.40,6.7,9.7,6.4,1.90M,39.76%
8/1/2012,10.20,9.4,15.4,7.6,2.45M,8.66%
9/1/2012,12.40,10.2,12.7,9.7,959.78K,22.05%
10/1/2012,11.20,12.4,13.1,9.7,1.15M,-9.68%
11/1/2012,12.60,11.2,12.6,10.3,804.19K,12.23%
12/1/2012,13.50,12.6,13.9,12.4,876.92K,7.48%
1/1/2013,20.40,13.5,21.4,13.2,1.46M,51.07%
2/1/2013,33.40,20.4,34.5,18,1.58M,63.55%
3/1/2013,93.00,33.4,95.7,32.9,2.12M,178.70%
4/1/2013,139.20,93,266,50,4.73M,49.66%
5/1/2013,128.80,139.2,140.1,79,2.07M,-7.48%
6/1/2013,97.50,128.8,130.1,88,1.05M,-24.31%
7/1/2013,106.20,97.5,111.7,65.4,1.14M,8.92%
8/1/2013,141.00,106.2,148.7,101,604.91K,32.76%
9/1/2013,141.90,141,148.9,121.3,451.29K,0.64%
10/1/2013,211.20,141.9,233.4,109.7,753.58K,48.82%
11/1/2013,1205.70,211.2,"1,241.90",209.7,1.13M,470.94%
12/1/2013,805.90,"1,205.70","1,239.90",454.9,920.80K,-33.15%
1/1/2014,938.80,805.9,"1,093.40",771,306.25K,16.49%
2/1/2014,573.90,938.8,969.2,91.7,996.35K,-38.87%
3/1/2014,444.70,573.9,695.4,262.8,94.27K,-22.53%
4/1/2014,445.60,444.7,549,355.7,161.16K,0.22%
5/1/2014,627.90,445.6,629,420.2,85.75K,40.90%
6/1/2014,635.10,627.9,676.5,560.8,111.81K,1.15%
7/1/2014,589.50,635.1,652.5,564,107.22K,-7.18%
8/1/2014,481.80,589.5,608.2,450,126.17K,-18.28%
9/1/2014,388.20,481.8,498.5,372.6,295.62K,-19.43%
10/1/2014,337.90,388.2,407.7,294.9,569.00K,-12.96%
11/1/2014,374.90,337.9,480.5,319.8,711.11K,10.97%
12/1/2014,318.20,374.9,384.9,303.4,847.29K,-15.12%
1/1/2015,218.50,318.2,321.4,157.3,1.56M,-31.34%
2/1/2015,254.10,218.5,264.6,209.7,2.09M,16.27%
3/1/2015,244.10,254.1,301,234.8,2.97M,-3.90%
4/1/2015,235.80,244.1,261.5,214.1,2.07M,-3.43%
5/1/2015,229.80,235.8,247.9,228.2,1.64M,-2.52%
6/1/2015,264.10,229.8,268.7,221,1.75M,14.91%
7/1/2015,283.70,264.1,315.9,243.2,1.86M,7.42%
8/1/2015,229.50,283.7,285.7,196.3,2.22M,-19.12%
9/1/2015,235.90,229.5,246.4,224.1,1.65M,2.82%
10/1/2015,311.20,235.9,334.9,234.7,2.28M,31.92%
11/1/2015,378.00,311.2,492.8,292.4,4.29M,21.44%
12/1/2015,430.00,378,467.7,347.2,3.20M,13.75%
1/1/2016,369.80,430,462.9,350.4,2.49M,-13.98%
2/1/2016,436.20,369.8,447.6,365.3,1.99M,17.95%
3/1/2016,415.70,436.2,439,386.9,1.66M,-4.71%
4/1/2016,448.50,415.7,468.9,412.4,1.39M,7.91%
5/1/2016,528.90,448.5,548,435.4,1.66M,17.92%
6/1/2016,670.00,528.9,776,521.3,3.55M,26.68%
7/1/2016,621.90,670,701.5,605,1.63M,-7.19%
8/1/2016,573.90,621.9,627.9,471.4,1.08M,-7.72%
9/1/2016,608.10,573.9,705,569.3,748.55K,5.97%
10/1/2016,698.70,608.1,720.2,606.5,905.66K,14.89%
11/1/2016,742.50,698.7,755.3,670.4,1.23M,6.27%
12/1/2016,963.40,742.5,982.6,741.1,1.27M,29.75%
1/1/2017,965.50,963.4,"1,150.60",739.5,2.21M,0.22%
2/1/2017,1189.30,965.5,"1,211.70",924.7,1.31M,23.18%
3/1/2017,1079.10,"1,189.30","1,330.40",890.4,2.68M,-9.26%
4/1/2017,1351.90,"1,079.10","1,358.90",841.5,1.56M,25.28%
5/1/2017,2303.30,"1,351.90","2,781.80","1,342.80",3.45M,70.38%
6/1/2017,2480.60,"2,303.30","2,985.10","2,125.60",3.35M,7.70%
7/1/2017,2883.30,"2,480.60","2,932.80","1,809.00",3.75M,16.23%
8/1/2017,4735.10,"2,883.30","4,765.10","2,659.60",3.13M,64.23%
9/1/2017,4360.60,"4,735.10","4,976.50","2,979.90",3.93M,-7.91%
10/1/2017,6451.20,"4,360.60","6,467.20","4,143.40",2.98M,47.94%
11/1/2017,9946.80,"6,449.10","11,417.80","5,493.60",3.96M,54.18%
12/1/2017,13850.40,"9,947.10","19,870.60","9,420.90",5.12M,39.25%
1/1/2018,10265.40,"13,850.50","17,252.80","9,271.30",4.84M,-25.88%
2/1/2018,10333.90,"10,266.20","11,791.50","5,996.60",8.54M,0.67%
3/1/2018,6938.20,"10,335.10","11,506.90","6,603.80",7.61M,-32.86%
4/1/2018,9245.10,"6,939.10","9,753.10","6,460.10",6.22M,33.25%
5/1/2018,7502.60,"9,245.10","9,992.80","7,069.80",5.04M,-18.85%
6/1/2018,6398.90,"7,502.50","7,775.00","5,785.30",4.78M,-14.71%
7/1/2018,7729.40,"6,398.50","8,484.60","6,398.50",7.06M,20.79%
8/1/2018,7033.80,"7,728.50","7,753.20","5,898.30",63.25M,-9.00%
9/1/2018,6635.20,"7,032.40","7,409.90","5,977.00",154.15M,-5.67%
10/1/2018,6365.90,"6,635.20","7,358.40","6,034.90",58.80M,-4.06%
11/1/2018,4039.70,"6,365.90","6,594.30","3,634.20",8.71M,-36.54%
12/1/2018,3709.40,"4,038.70","4,316.10","3,177.00",15.70M,-8.18%
1/1/2019,3437.20,"3,709.50","4,070.50","3,368.20",15.72M,-7.34%
2/1/2019,3816.60,"3,437.70","4,194.20","3,382.50",23.13M,11.04%
3/1/2019,4102.30,"3,816.70","4,138.10","3,681.80",81.62M,7.49%
4/1/2019,5320.80,"4,102.30","5,594.40","4,076.80",54.03M,29.70%
5/1/2019,8558.30,"5,321.10","9,045.90","5,319.50",44.06M,60.85%
6/1/2019,10818.60,"8,556.90","13,929.80","7,480.40",22.96M,26.41%
7/1/2019,10082.00,"10,821.40","13,134.40","9,082.60",23.61M,-6.81%
8/1/2019,9594.40,"10,081.90","12,291.90","9,343.00",17.53M,-4.84%
9/1/2019,8284.30,"9,594.70","10,896.20","7,749.00",13.58M,-13.65%
10/1/2019,9152.60,"8,285.00","10,540.00","7,329.20",19.93M,10.48%
11/1/2019,7546.60,"9,153.10","9,500.40","6,534.80",21.33M,-17.55%
12/1/2019,7196.40,"7,546.50","7,702.20","6,462.20",21.03M,-4.64%
1/1/2020,9349.10,"7,196.40","9,569.00","6,884.10",23.56M,29.91%
2/1/2020,8543.70,"9,349.30","10,482.60","8,543.70",23.76M,-8.62%
3/1/2020,6412.50,"8,543.80","9,180.80","3,869.50",48.24M,-24.94%
4/1/2020,8629.00,"6,412.40","9,437.50","6,157.40",39.41M,34.56%
5/1/2020,9454.80,"8,628.60","10,033.00","8,235.60",38.48M,9.57%
6/1/2020,9135.40,"9,454.50","10,301.80","8,865.30",15.35M,-3.38%
7/1/2020,11333.40,"10,961.10","11,434.80","10,771.80",13.21M,24.06%
8/1/2020,11644.20,"11,333.20","12,444.10","10,730.70",15.39M,2.74%
9/1/2020,10776.10,"11,644.20","12,045.90","9,877.10",83.88M,-7.46%
10/1/2020,13797.30,"10,776.60","14,065.40","10,387.60",2.41M,28.04%
11/1/2020,19698.10,"18,394.60","19,831.20","16,235.20",4.05M,42.77%
12/1/2020,28949.40,"19,697.80","29,298.80","17,600.10",3.85M,46.97%
1/1/2021,33108.10,"28,951.70","41,921.70","28,204.50",5.50M,14.37%
2/1/2021,45164.00,"33,106.80","58,335.10","32,324.90",4.01M,36.41%
3/1/2021,58763.70,"45,160.50","61,795.80","45,008.80",3.01M,30.11%
4/1/2021,57720.30,"58,763.20","64,778.00","47,098.50",2.97M,-1.78%
5/1/2021,37298.60,"57,719.10","59,523.90","30,261.70",5.33M,-35.38%
6/1/2021,35026.90,"37,294.30","41,318.00","28,901.80",4.14M,-6.09%
7/1/2021,41553.70,"35,030.70","42,285.30","29,310.20",2.44M,18.63%
8/1/2021,47130.40,"41,510.00","50,498.80","37,365.40",2.14M,13.42%
9/1/2021,43823.30,"47,129.20","52,885.30","39,646.80",2.21M,-7.02%
10/1/2021,61309.60,"43,824.40","66,967.10","43,292.90",2.18M,39.90%
11/1/2021,56882.90,"61,310.10","68,990.60","53,448.30",1.85M,-7.22%
12/1/2021,46219.50,"56,891.70","59,064.30","42,587.80",1.90M,-18.75%
1/1/2022,38498.60,"46,217.50","47,944.90","32,985.60",2.03M,-16.70%
2/1/2022,43188.20,"38,475.60","45,755.20","34,357.40",1.82M,12.18%
3/1/2022,45525.00,"43,187.20","48,199.00","37,182.10",43.70B,5.41%
4/1/2022,37650.00,"45,529.00","47,435.00","37,596.00",12.14B,-17.30%
5/1/2022,31793.40,"37,642.00","40,021.00","26,500.50",4.67B,-15.56%
6/1/2022,19926.60,"31,793.10","31,969.90","17,630.50",3.79M,-37.32%
7/1/2022,23303.40,"19,926.60","24,605.30","18,794.40",5.79M,16.95%
8/1/2022,20043.90,"23,303.40","25,205.70","19,542.90",6.55M,-13.99%
9/1/2022,19423.00,"20,049.90","22,702.50","18,191.80",10.91M,-3.10%
10/1/2022,20496.30,"19,422.90","21,038.10","18,207.90",8.29M,5.53%
11/1/2022,17163.90,"20,496.10","21,464.70","15,504.20",10.30M,-16.26%
12/1/2022,16537.40,"17,163.40","18,351.80","16,331.20",6.61M,-3.65%
1/1/2023,23125.10,"16,537.50","23,952.90","16,499.70",8.98M,39.83%
2/1/2023,23130.50,"23,124.70","25,236.80","21,418.70",9.09M,0.02%
3/1/2023,28473.70,"23,130.60","29,160.40","19,591.80",10.26M,23.10%
4/1/2023,29252.10,"28,473.70","30,964.90","27,054.30",2.03M,2.73%
5/1/2023,27216.10,"29,252.10","29,816.40","25,853.10",1.66M,-6.96%
6/1/2023,30472.90,"27,216.40","31,395.40","24,838.00",1.77M,11.97%
7/1/2023,29232.40,"30,472.90","31,764.50","28,890.70",1.23M,-4.07%
8/1/2023,25937.30,"29,232.30","30,168.60","25,481.90",1.34M,-11.27%
9/1/2023,26962.70,"25,938.30","27,480.70","24,923.10",1.15M,3.95%
10/1/2023,34650.60,"26,962.50","35,191.40","26,558.40",1.61M,28.51%
11/1/2023,37712.90,"34,648.30","38,400.80","34,124.20",1.48M,8.84%
12/1/2023,42272.50,"37,712.90","44,697.60","37,618.30",1.63M,12.09%
1/1/2024,42580.50,"42,272.50","48,923.70","38,546.90",2.03M,0.73%
2/1/2024,61169.30,"42,580.10","63,915.30","41,890.50",1.74M,43.66%
3/1/2024,71332.00,"61,157.30","73,740.90","60,138.20",2.70M,16.61%
4/1/2024,60666.60,"71,329.30","72,710.80","59,228.70",2.66M,-14.95%
5/1/2024,67530.10,"60,665.00","71,872.00","56,643.50",2.10M,11.31%
6/1/2024,60348.60,"67,533.90","71,956.50","58,589.90",1.22M,-10.63%
